case,n,tau_raw,tau_gap,max_dh,top1_raw,top1_gap
0,21,0.6570155902004454,0.866369710467706,1.9642204441914715,0,1
1,22,0.8139013452914798,0.9730941704035874,4.457961534453652,1,1
2,23,0.7908787541713015,1.0,3.1304323168028607,1,1
3,24,0.85,0.9904761904761906,1.4255497097994467,1,1
4,25,0.712401055408971,0.9472295514511874,2.188584321641039,1,1
5,26,0.6698113207547169,0.9410377358490567,2.7262681702453477,0,1
6,27,0.8197747183979975,0.9524405506883604,1.7506786668272345,1,1
7,28,0.8245219347581553,0.968503937007874,1.8794789605226079,1,1
8,29,0.8712328767123287,0.9780821917808219,1.6977559525905968,1,1
9,30,0.9118457300275482,0.955922865013774,1.582732811310554,0,0
10,31,0.7894736842105263,0.9641657334826428,3.0224767767901697,0,1
11,32,0.873836608066184,0.9813857290589452,1.975953837049412,1,1
12,33,0.8119891008174388,0.9645776566757495,2.00036709163331,0,1
13,34,0.7139479905437354,1.0,1.4791233149380827,0,1
14,35,0.896457765667575,0.9673024523160765,2.099417793140693,1,0
15,36,0.9482014388489207,0.9827338129496401,1.8623083223781907,0,1
16,37,0.9799777530589544,1.0,2.903635928350566,1,1
17,38,0.7075365579302587,0.9662542182227222,2.567931101186835,0,1
18,39,0.815043156596794,0.9506781750924784,2.8537210219853693,1,1
19,40,0.860026917900404,0.9973082099596232,2.538206139657587,0,1
20,41,0.7575757575757576,0.9441786283891547,4.666358466578872,1,1
21,42,0.7991111111111111,0.9786666666666668,1.4917258666377935,0,1
22,43,0.8729329852045257,0.9738903394255874,4.097104583283515,1,1
23,44,0.969777777777778,0.9840000000000001,1.2502583968701144,1,1
24,45,0.6473791695030633,0.9537100068073519,2.954963213769217,0,1
25,46,0.6480000000000001,0.8204444444444445,1.8133890069107774,0,0
26,47,0.83739837398374,0.9281842818428185,1.787011239245301,1,1
27,48,0.8345534407027819,0.9355783308931188,1.7056012689050086,0,1
28,49,0.8178963893249606,0.987441130298273,2.7759548818493243,1,1
29,50,0.8961937716262975,0.9792387543252596,2.1422110446342773,1,1
30,51,0.8550943396226414,0.9818867924528301,1.3696884940119423,1,1
31,52,0.8240000000000001,0.9360000000000002,1.972158540872738,1,1
32,53,0.8311111111111112,0.8346666666666668,2.0211530103261186,1,1
33,54,0.8429629629629628,0.9599999999999997,2.7407835822082136,1,1
34,55,0.6736765772298766,0.7751994198694705,4.047236278486949,1,1
35,56,0.6635193133047211,0.9296137339055794,2.4891793713237114,0,0
36,57,0.7228400342172797,0.9110350727117195,2.9186851564521903,0,1
37,58,0.7574872169466764,0.9181884587289993,3.173374479595407,1,1
38,59,0.8374679213002566,0.9572284003421728,3.040598336202871,0,1
39,60,0.7005113221329438,0.902118334550767,2.5201146283924145,1,1
40,61,0.8382608695652173,0.9408695652173913,1.6330050857356508,0,1
41,62,0.6803493449781659,0.8445414847161572,2.875856388666405,0,1
42,63,0.8167675021607604,0.9394987035436472,2.303720442478722,0,0
43,64,0.7810094097519248,0.9555175363558597,6.201600576092173,0,0
44,65,0.5896995708154507,0.9278969957081545,2.5328647437554483,0,1
45,66,0.6174672489082969,0.8899563318777292,1.8601683598450656,1,1
46,67,0.7013333333333334,0.9271111111111112,2.380019111081351,0,1
47,68,0.7653333333333334,0.8062222222222223,1.7784763490149997,0,0
48,69,0.8151111111111112,1.0,1.876365354629966,1,1
49,70,0.552,0.9182222222222223,2.2542066576234943,1,1
50,71,0.6883333333333332,0.8766666666666665,2.518751786527363,0,1
51,72,0.7351111111111112,0.8897777777777779,2.5466856141825485,1,1
52,73,0.8069565217391304,0.9495652173913043,2.2168872657806555,0,1
53,74,0.8631111111111113,0.9520000000000001,2.3720756556119116,0,1
54,75,0.7795555555555557,0.9680000000000001,2.6023279613064725,1,1
55,76,0.8989547038327527,0.9616724738675959,2.2234246853510995,0,1
56,77,0.7164179104477614,0.9121061359867332,4.45111597052717,1,1
57,78,0.7742222222222224,0.8666666666666668,1.9737533122219686,1,1
58,79,0.7905579399141631,0.9708154506437767,2.283533009373435,1,1
59,80,0.7925669835782194,0.9861711322385478,2.237851250691069,1,0
60,81,0.8962834917891096,0.9533275713050993,2.5549449452986495,1,1
61,82,0.7973333333333334,0.9431111111111112,3.1959705878011166,1,1
62,83,0.8012100259291269,0.9585133967156437,2.2064899715718065,0,1
63,84,0.6888504753673292,0.856525496974935,2.3967797544929743,1,1
64,85,0.8773333333333335,0.9235555555555557,2.129633654641904,1,1
65,86,0.6093344857389801,0.8807260155574761,3.617947596028757,1,1
66,87,0.7613168724279836,0.9407407407407409,3.7102134022632174,0,1
67,88,0.700164744645799,0.9093904448105437,3.880497032114354,0,1
68,89,0.5743183817062444,0.9050131926121371,2.294646341834411,1,1
69,90,0.7902222222222223,0.9075555555555557,2.0803010713821823,1,1
70,91,0.6094986807387862,0.9331574318381706,3.0401187807035215,1,1
71,92,0.5948497854077254,0.9055793991416309,2.9366411362143694,1,1
72,93,0.7365684575389947,0.8960138648180241,1.861494453948236,1,1
73,94,0.8492201039861351,0.97053726169844,2.068931203343568,0,1
74,95,0.5226480836236934,0.9233449477351917,3.1814116916742456,1,1
75,96,0.8457538994800692,0.9549393414211437,2.9567603570139425,1,1
76,97,0.6728888888888889,0.9680000000000001,2.4394369471440487,1,1
77,98,0.9384344766930518,0.9507475813544414,1.3898580818538016,0,1
78,99,0.7078651685393257,0.9360414866032841,2.4352498484833203,0,1
79,100,0.7105719237435009,0.9133448873483535,3.2323221752232967,0,0
80,101,0.8411053540587219,0.9360967184801382,1.9856035115435353,0,0
81,102,0.7389801210025927,0.9360414866032841,2.6271207467319817,0,1
82,103,0.7071057192374349,0.951473136915078,2.370164093796609,0,1
83,104,0.7600000000000001,0.928888888888889,2.61629894526269,1,1
84,105,0.6236933797909407,0.8989547038327527,2.1441337580529556,0,0
85,106,0.6214347450302505,0.9775280898876402,2.6453070676402506,0,1
86,107,0.7617777777777779,0.9537777777777778,2.296979926486656,1,1
87,108,0.792274678111588,0.9278969957081545,1.902613569969349,0,1
88,109,0.8356401384083044,0.9515570934256055,2.4351514932663716,0,1
89,110,0.6939313984168866,0.8698328935795954,2.759370984009909,1,1
90,111,0.7142857142857143,0.9738675958188154,2.6276922513897794,0,1
91,112,0.6600858369098713,0.938197424892704,2.29740095922754,1,1
92,113,0.7302977232924692,0.9404553415061294,3.034156729076859,1,1
93,114,0.7457777777777779,0.8346666666666668,1.7046822973753954,1,1
94,115,0.7845884413309981,0.8774080560420314,1.9274305197316777,1,1
95,116,0.6093344857389801,0.8859118409680206,78.44945143438748,0,0
96,117,0.8091143594153052,0.9570077386070507,2.0299748309390644,0,1
97,118,0.5845493562231759,0.9811158798283262,3.2293588449436794,0,1
98,119,0.8202247191011235,0.9446845289541917,2.5272270952030693,1,1
99,120,0.7684943429068755,0.9321148825065274,2.353393684482408,0,1
